case_id,activity,resource,start_timestamp,end_timestamp
Case 1,Inbound Call,Helen,2010-03-09 08:05:00,2010-03-09 08:10:00
Case 1,Handle Case,Helen,2010-03-11 10:30:00,2010-03-11 10:32:00
Case 1,Call Outbound,Henk,2010-03-11 11:45:00,2010-03-11 11:52:00
Case 2,Inbound Call,Susi,2010-03-04 11:43:00,2010-03-04 11:46:00
Case 3,Inbound Call,Mary,2010-03-25 09:32:00,2010-03-25 09:33:00
Case 4,Inbound Call,Fred,2010-03-06 11:41:00,2010-03-06 11:51:00
Case 5,Inbound Call,Kenny,2010-03-18 10:54:00,2010-03-18 11:01:00
Case 6,Inbound Call,Harold,2010-03-25 17:09:00,2010-03-25 17:13:00
Case 6,Inbound Call,Nancy,2010-03-25 17:16:00,2010-03-25 17:18:00
Case 6,Inbound Call,Elena,2010-03-26 08:36:00,2010-03-26 08:40:00
Case 7,Inbound Call,Karen,2010-03-18 11:49:00,2010-03-18 11:50:00
Case 8,Inbound Call,Karen,2010-03-11 09:20:00,2010-03-11 09:23:00
Case 9,Inbound Email,Samuil,2010-03-19 19:47:00,2010-03-21 08:17:00
Case 9,Call Outbound,Samuil,2010-03-21 08:32:00,2010-03-21 08:33:00
Case 9,Handle Email,Samuil,2010-03-21 08:33:00,2010-03-21 08:33:00
Case 10,Handle Email,Jochem,2010-03-27 11:29:00,2010-03-27 11:30:00
Case 11,Inbound Call,Irena,2010-03-27 08:09:00,2010-03-27 08:11:00
Case 12,Inbound Call,Wil,2010-03-29 09:28:00,2010-03-29 09:29:00
Case 13,Inbound Call,Ton,2010-03-05 10:13:00,2010-03-05 10:15:00
Case 14,Inbound Call,Wil,2010-03-04 07:49:00,2010-03-04 07:50:00
Case 15,Inbound Call,Erik,2010-03-07 08:06:00,2010-03-07 08:13:00
Case 16,Inbound Call,Helen,2010-03-25 10:26:00,2010-03-25 10:34:00
Case 17,Inbound Call,Kenny,2010-03-04 07:35:00,2010-03-04 07:46:00
Case 17,Handle Case,Kenny,2010-03-04 07:53:00,2010-03-04 07:55:00
Case 17,Handle Case,Kenny,2010-03-08 11:16:00,2010-03-08 11:18:00
Case 17,Handle Case,Kenny,2010-03-11 11:15:00,2010-03-11 11:19:00
Case 17,Inbound Call,Monique,2010-03-14 17:53:00,2010-03-14 17:56:00
Case 18,Inbound Call,Karen,2010-03-25 10:35:00,2010-03-25 10:38:00
Case 19,Inbound Email,Henk,2010-03-14 14:08:00,2010-03-18 08:04:00
Case 19,Inbound Email,Henk,2010-03-18 08:06:00,2010-03-18 08:07:00
Case 19,Handle Case,Henk,2010-03-18 08:07:00,2010-03-18 08:08:00
Case 19,Handle Case,Henk,2010-03-18 08:09:00,2010-03-18 08:09:00
Case 20,Handle Case,Mariska,2010-03-27 11:39:00,2010-03-27 11:39:00
Case 20,Handle Case,Mariska,2010-03-27 12:04:00,2010-03-27 12:10:00
Case 20,Handle Case,Mariska,2010-04-04 09:34:00,2010-04-04 09:34:00
Case 21,Inbound Call,Anne,2010-03-04 12:17:00,2010-03-04 12:22:00
Case 22,Inbound Call,Erik,2010-03-22 08:30:00,2010-03-22 08:31:00
Case 23,Inbound Call,Ton,2010-03-22 14:59:00,2010-03-22 15:13:00
Case 24,Inbound Call,Kenny,2010-03-28 10:04:00,2010-03-28 10:09:00
Case 25,Inbound Call,Henk,2010-03-12 09:53:00,2010-03-12 09:56:00
Case 25,Call Outbound,Henk,2010-03-12 11:45:00,2010-03-12 11:49:00
Case 26,Inbound Call,Christian,2010-03-18 17:52:00,2010-03-18 17:52:00
Case 27,Inbound Call,Anne,2010-03-29 14:33:00,2010-03-29 14:35:00
Case 28,Handle Email,Mary,2010-03-06 13:57:00,2010-03-06 14:03:00
Case 28,Call Outbound,Mary,2010-03-06 14:03:00,2010-03-06 14:04:00
Case 29,Inbound Call,Henk,2010-03-20 07:35:00,2010-03-20 07:36:00
Case 30,Inbound Call,Maja,2010-03-22 10:16:00,2010-03-22 10:17:00
Case 31,Inbound Call,Wil,2010-03-20 10:48:00,2010-03-20 10:50:00
Case 31,Handle Case,Wil,2010-03-26 13:21:00,2010-03-26 13:22:00
Case 31,Inbound Call,Erik,2010-04-24 13:12:00,2010-04-24 13:13:00
Case 32,Inbound Call,Maja,2010-03-02 11:46:00,2010-03-02 11:56:00
Case 32,Inbound Call,Clark,2010-03-04 17:59:00,2010-03-04 18:08:00
Case 32,Call Outbound,Clark,2010-03-11 15:16:00,2010-03-11 15:17:00
Case 32,Call Outbound,Clark,2010-03-20 14:26:00,2010-03-20 14:27:00
Case 32,Call Outbound,Clark,2010-03-25 15:19:00,2010-03-25 15:22:00
Case 33,Inbound Call,Richard,2010-03-08 11:40:00,2010-03-08 11:47:00
