,concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator,start_timestamp
0,Start,complete,Start,2016-02-01 11:23:52+00:00,Start,Start,81051,Variant 2,2,Fluxicon Disco,2016-02-01 11:23:52+00:00
1,Traer informacion estudiante - banner,complete,8997,2016-02-01 11:23:52+00:00,Traer informacion estudiante - banner,8997,81051,Variant 2,2,Fluxicon Disco,2016-02-01 11:23:52+00:00
2,Radicar Solicitud Homologacion,complete,8997,2016-02-01 11:24:02+00:00,Radicar Solicitud Homologacion,8997,81051,Variant 2,2,Fluxicon Disco,2016-02-01 11:24:02+00:00
3,Validar solicitud,complete,387,2016-02-01 11:32:06+00:00,Validar solicitud,387,81051,Variant 2,2,Fluxicon Disco,2016-02-01 11:27:47+00:00
4,Homologacion por grupo de cursos,complete,1007,2016-02-01 19:38:15+00:00,Homologacion por grupo de cursos,1007,81051,Variant 2,2,Fluxicon Disco,2016-02-01 19:19:41+00:00
5,End,complete,End,2016-02-01 19:38:15+00:00,End,End,81051,Variant 2,2,Fluxicon Disco,2016-02-01 19:38:15+00:00
6,Start,complete,Start,2016-02-01 16:53:46+00:00,Start,Start,81102,Variant 2,2,Fluxicon Disco,2016-02-01 16:53:46+00:00
7,Traer informacion estudiante - banner,complete,6426,2016-02-01 16:53:46+00:00,Traer informacion estudiante - banner,6426,81102,Variant 2,2,Fluxicon Disco,2016-02-01 16:53:46+00:00
8,Radicar Solicitud Homologacion,complete,6426,2016-02-01 17:09:56+00:00,Radicar Solicitud Homologacion,6426,81102,Variant 2,2,Fluxicon Disco,2016-02-01 16:53:50+00:00
9,Validar solicitud,complete,22475,2016-02-03 17:49:35+00:00,Validar solicitud,22475,81102,Variant 2,2,Fluxicon Disco,2016-02-03 17:47:36+00:00
10,Homologacion por grupo de cursos,complete,1343,2016-02-03 21:48:38+00:00,Homologacion por grupo de cursos,1343,81102,Variant 2,2,Fluxicon Disco,2016-02-03 20:59:19+00:00
11,End,complete,End,2016-02-03 21:48:38+00:00,End,End,81102,Variant 2,2,Fluxicon Disco,2016-02-03 21:48:38+00:00
12,Start,complete,Start,2016-02-02 05:39:32+00:00,Start,Start,81201,Variant 22,22,Fluxicon Disco,2016-02-02 05:39:32+00:00
13,Traer informacion estudiante - banner,complete,8916,2016-02-02 05:39:32+00:00,Traer informacion estudiante - banner,8916,81201,Variant 22,22,Fluxicon Disco,2016-02-02 05:39:32+00:00
14,Radicar Solicitud Homologacion,complete,8916,2016-02-02 05:55:38+00:00,Radicar Solicitud Homologacion,8916,81201,Variant 22,22,Fluxicon Disco,2016-02-02 05:39:38+00:00
15,Notificacion estudiante cancelacion soli,complete,8916,2016-02-04 02:15:31+00:00,Notificacion estudiante cancelacion soli,8916,81201,Variant 22,22,Fluxicon Disco,2016-02-04 02:15:31+00:00
16,Cancelar Solicitud,complete,8916,2016-02-04 04:15:12+00:00,Cancelar Solicitud,8916,81201,Variant 22,22,Fluxicon Disco,2016-02-04 04:15:12+00:00
17,End,complete,End,2016-02-04 04:15:12+00:00,End,End,81201,Variant 22,22,Fluxicon Disco,2016-02-04 04:15:12+00:00
18,Start,complete,Start,2016-02-02 08:30:08+00:00,Start,Start,81301,Variant 9,9,Fluxicon Disco,2016-02-02 08:30:08+00:00
19,Traer informacion estudiante - banner,complete,4867,2016-02-02 08:30:08+00:00,Traer informacion estudiante - banner,4867,81301,Variant 9,9,Fluxicon Disco,2016-02-02 08:30:08+00:00
20,Radicar Solicitud Homologacion,complete,4867,2016-02-02 08:30:12+00:00,Radicar Solicitud Homologacion,4867,81301,Variant 9,9,Fluxicon Disco,2016-02-02 08:30:12+00:00
21,Validar solicitud,complete,22475,2016-02-02 08:49:59+00:00,Validar solicitud,22475,81301,Variant 9,9,Fluxicon Disco,2016-02-02 08:38:03+00:00
22,Cancelar Solicitud,complete,669,2016-02-02 09:10:03+00:00,Cancelar Solicitud,669,81301,Variant 9,9,Fluxicon Disco,2016-02-02 08:38:03+00:00
23,Notificacion estudiante cancelacion soli,complete,669,2016-02-08 12:22:23+00:00,Notificacion estudiante cancelacion soli,669,81301,Variant 9,9,Fluxicon Disco,2016-02-08 12:22:23+00:00
24,End,complete,End,2016-02-08 12:22:23+00:00,End,End,81301,Variant 9,9,Fluxicon Disco,2016-02-08 12:22:23+00:00
25,Start,complete,Start,2016-02-03 13:03:14+00:00,Start,Start,81801,Variant 15,15,Fluxicon Disco,2016-02-03 13:03:14+00:00
26,Homologacion por grupo de cursos,complete,1007,2016-02-03 14:11:05+00:00,Homologacion por grupo de cursos,1007,81801,Variant 15,15,Fluxicon Disco,2016-02-03 13:03:14+00:00
27,Traer informacion estudiante - banner,complete,8997,2016-02-03 14:13:10+00:00,Traer informacion estudiante - banner,8997,81801,Variant 15,15,Fluxicon Disco,2016-02-03 14:13:10+00:00
28,Radicar Solicitud Homologacion,complete,8997,2016-02-03 14:13:57+00:00,Radicar Solicitud Homologacion,8997,81801,Variant 15,15,Fluxicon Disco,2016-02-03 14:13:17+00:00
29,Validar solicitud,complete,19019,2016-02-03 14:54:00+00:00,Validar solicitud,19019,81801,Variant 15,15,Fluxicon Disco,2016-02-03 14:54:00+00:00
30,End,complete,End,2016-02-03 14:54:00+00:00,End,End,81801,Variant 15,15,Fluxicon Disco,2016-02-03 14:54:00+00:00
