case_id,resource,activity,start_time,end_time
1,Clerk-000002,Check application form completeness,2023-02-09 08:27:20.094,2023-02-09 08:32:49.633
1,AML Investigator-000001,AML check,2023-02-09 08:32:49.633,2023-02-09 08:56:26.725
0,Clerk-000001,Check application form completeness,2023-02-09 08:00:00.000,2023-02-09 09:07:11.333
0,Clerk-000004,Return application back to applicant,2023-02-09 09:07:11.333,2023-02-09 09:12:11.333
1,Clerk-000003,Check credit history,2023-02-09 08:32:49.633,2023-02-09 09:17:47.530
2,Clerk-000005,Check application form completeness,2023-02-09 09:45:11.070,2023-02-09 10:00:34.378
2,Clerk-000007,Return application back to applicant,2023-02-09 10:00:34.378,2023-02-09 10:05:34.378
3,Clerk-000006,Check application form completeness,2023-02-09 09:53:35.548,2023-02-09 10:09:26.875
0,Applicant-000001,Applicant completes form,2023-02-09 09:12:11.333,2023-02-09 10:12:11.333
3,Appraiser-000002,Appraise property,2023-02-09 10:09:26.875,2023-02-09 10:13:45.338
3,Clerk-000008,Check credit history,2023-02-09 10:09:26.875,2023-02-09 10:13:53.030
0,Clerk-000002,Check application form completeness,2023-02-09 10:12:11.333,2023-02-09 10:22:30.209
0,AML Investigator-000001,AML check,2023-02-09 10:22:30.209,2023-02-09 10:27:44.325
3,AML Investigator-000002,AML check,2023-02-09 10:09:26.875,2023-02-09 10:32:54.682
1,Appraiser-000001,Appraise property,2023-02-09 08:32:49.633,2023-02-09 10:37:27.162
0,Appraiser-000002,Appraise property,2023-02-09 10:22:30.209,2023-02-09 10:46:32.693
3,Loan Officer-000001,Assess loan risk,2023-02-09 10:32:54.682,2023-02-09 10:52:54.682
3,Loan Officer-000003,Design loan offer,2023-02-09 10:52:54.682,2023-02-09 10:56:28.370
1,Loan Officer-000002,Assess loan risk,2023-02-09 10:37:27.162,2023-02-09 10:57:27.162
1,Loan Officer-000004,Design loan offer,2023-02-09 10:57:27.162,2023-02-09 10:59:12.381
2,Applicant-000001,Applicant completes form,2023-02-09 10:12:11.333,2023-02-09 11:12:11.333
4,Clerk-000004,Check application form completeness,2023-02-09 11:07:33.558,2023-02-09 11:16:09.429
3,Senior Officer-000001,Approve loan offer,2023-02-09 10:56:28.370,2023-02-09 11:16:28.370
1,Senior Officer-000002,Approve loan offer,2023-02-09 10:59:12.381,2023-02-09 11:19:12.381
4,AML Investigator-000001,AML check,2023-02-09 11:16:09.429,2023-02-09 11:21:14.057
3,Clerk-000007,Approve application,2023-02-09 11:16:28.370,2023-02-09 11:21:28.370
4,Clerk-000005,Check credit history,2023-02-09 11:16:09.429,2023-02-09 11:22:49.493
1,Clerk-000006,Approve application,2023-02-09 11:19:12.381,2023-02-09 11:24:12.381
2,Clerk-000003,Check application form completeness,2023-02-09 11:12:11.333,2023-02-09 11:24:19.012
2,Clerk-000008,Return application back to applicant,2023-02-09 11:24:19.012,2023-02-09 11:29:19.012
5,Clerk-000002,Check application form completeness,2023-02-09 11:25:02.348,2023-02-09 11:34:02.905
5,Clerk-000004,Return application back to applicant,2023-02-09 11:34:02.905,2023-02-09 11:39:02.905
4,Appraiser-000001,Appraise property,2023-02-09 11:16:09.429,2023-02-09 11:53:08.464
6,Clerk-000007,Check application form completeness,2023-02-09 11:53:08.910,2023-02-09 11:59:53.905
6,Appraiser-000002,Appraise property,2023-02-09 11:59:53.905,2023-02-09 12:03:48.500
6,Clerk-000005,Check credit history,2023-02-09 11:59:53.905,2023-02-09 12:08:10.750
4,Loan Officer-000001,Assess loan risk,2023-02-09 11:53:08.464,2023-02-09 12:13:08.464
0,Clerk-000001,Check credit history,2023-02-09 10:22:30.209,2023-02-09 12:19:42.738
4,Clerk-000006,Reject application,2023-02-09 12:13:08.464,2023-02-09 12:23:08.464
2,Applicant-000001,Applicant completes form,2023-02-09 11:29:19.012,2023-02-09 12:29:19.012
0,Loan Officer-000003,Assess loan risk,2023-02-09 12:19:42.738,2023-02-09 12:39:42.738
0,Loan Officer-000002,Design loan offer,2023-02-09 12:39:42.738,2023-02-09 12:39:49.034
2,Clerk-000003,Check application form completeness,2023-02-09 12:29:19.012,2023-02-09 12:58:14.842
6,AML Investigator-000002,AML check,2023-02-09 11:59:53.905,2023-02-09 12:58:24.176
0,Senior Officer-000001,Approve loan offer,2023-02-09 12:39:49.034,2023-02-09 12:59:49.034
7,Clerk-000008,Check application form completeness,2023-02-09 12:47:35.769,2023-02-09 13:02:25.709
7,Appraiser-000002,Appraise property,2023-02-09 13:02:25.709,2023-02-09 13:03:37.888
0,Clerk-000004,Cancel application,2023-02-09 12:59:49.034,2023-02-09 13:04:49.034
7,AML Investigator-000002,AML check,2023-02-09 13:02:25.709,2023-02-09 13:10:05.850
2,Appraiser-000001,Appraise property,2023-02-09 12:58:14.842,2023-02-09 13:16:04.438
6,Loan Officer-000004,Assess loan risk,2023-02-09 12:58:24.176,2023-02-09 13:18:24.176
6,Loan Officer-000001,Design loan offer,2023-02-09 13:18:24.176,2023-02-09 13:24:11.011
5,Applicant-000001,Applicant completes form,2023-02-09 12:29:19.012,2023-02-09 13:29:19.012
9,Clerk-000001,Check application form completeness,2023-02-09 13:27:12.799,2023-02-09 13:31:37.880
