case_id,resource,activity,start_time,end_time
0,Clerk-000001,Check application form completeness,2023-02-09 08:00:00.000,2023-02-09 08:20:12.319
0,Clerk-000002,Return application back to applicant,2023-02-09 08:20:12.319,2023-02-09 08:25:12.319
1,Clerk-000003,Check application form completeness,2023-02-09 08:30:00.000,2023-02-09 08:47:10.931
1,AML Investigator-000001,AML check,2023-02-09 08:47:10.931,2023-02-09 08:54:50.798
2,Clerk-000001,Check application form completeness,2023-02-09 09:00:00.000,2023-02-09 09:01:52.489
0,Applicant-000001,Applicant completes form,2023-02-09 08:25:12.319,2023-02-09 09:25:12.319
1,Clerk-000004,Check credit history,2023-02-09 08:47:10.931,2023-02-09 09:25:26.377
0,Clerk-000003,Check application form completeness,2023-02-09 09:25:12.319,2023-02-09 09:25:44.920
2,AML Investigator-000001,AML check,2023-02-09 09:01:52.489,2023-02-09 09:29:16.399
0,Clerk-000001,Return application back to applicant,2023-02-09 09:25:44.920,2023-02-09 09:30:44.920
1,Appraiser-000001,Appraise property,2023-02-09 08:47:10.931,2023-02-09 09:45:01.603
2,Clerk-000002,Check credit history,2023-02-09 09:01:52.489,2023-02-09 09:47:38.358
2,Appraiser-000001,Appraise property,2023-02-09 09:45:01.603,2023-02-09 09:49:14.365
3,Clerk-000004,Check application form completeness,2023-02-09 09:30:00.000,2023-02-09 09:58:55.565
1,Loan Officer-000001,Assess loan risk,2023-02-09 09:45:01.603,2023-02-09 10:05:01.603
3,AML Investigator-000001,AML check,2023-02-09 09:58:55.565,2023-02-09 10:05:36.726
2,Loan Officer-000002,Assess loan risk,2023-02-09 09:49:14.365,2023-02-09 10:09:14.365
2,Loan Officer-000002,Design loan offer,2023-02-09 10:09:14.365,2023-02-09 10:09:49.973
4,Clerk-000001,Check application form completeness,2023-02-09 10:00:00.000,2023-02-09 10:09:55.138
3,Clerk-000003,Check credit history,2023-02-09 09:58:55.565,2023-02-09 10:13:13.692
3,Appraiser-000001,Appraise property,2023-02-09 09:58:55.565,2023-02-09 10:14:40.343
1,Loan Officer-000001,Design loan offer,2023-02-09 10:05:01.603,2023-02-09 10:16:50.695
4,AML Investigator-000001,AML check,2023-02-09 10:09:55.138,2023-02-09 10:24:04.737
2,Senior Officer-000001,Approve loan offer,2023-02-09 10:09:49.973,2023-02-09 10:29:49.973
0,Applicant-000001,Applicant completes form,2023-02-09 09:30:44.920,2023-02-09 10:30:44.920
3,Loan Officer-000002,Assess loan risk,2023-02-09 10:14:40.343,2023-02-09 10:34:40.343
4,Clerk-000002,Check credit history,2023-02-09 10:09:55.138,2023-02-09 10:34:47.632
2,Clerk-000004,Cancel application,2023-02-09 10:29:49.973,2023-02-09 10:34:49.973
5,Clerk-000001,Check application form completeness,2023-02-09 10:30:00.000,2023-02-09 10:43:22.802
1,Senior Officer-000001,Approve loan offer,2023-02-09 10:29:49.973,2023-02-09 10:49:49.973
5,Clerk-000002,Check credit history,2023-02-09 10:43:22.802,2023-02-09 10:51:19.223
1,Clerk-000004,Approve application,2023-02-09 10:49:49.973,2023-02-09 10:54:49.973
5,AML Investigator-000001,AML check,2023-02-09 10:43:22.802,2023-02-09 10:57:06.778
0,Clerk-000003,Check application form completeness,2023-02-09 10:30:44.920,2023-02-09 11:03:13.187
4,Appraiser-000001,Appraise property,2023-02-09 10:14:40.343,2023-02-09 11:05:09.643
3,Loan Officer-000001,Design loan offer,2023-02-09 10:34:40.343,2023-02-09 11:08:22.456
0,Appraiser-000001,Appraise property,2023-02-09 11:05:09.643,2023-02-09 11:17:54.429
5,Appraiser-000001,Appraise property,2023-02-09 11:17:54.429,2023-02-09 11:19:26.761
4,Loan Officer-000002,Assess loan risk,2023-02-09 11:05:09.643,2023-02-09 11:25:09.643
3,Senior Officer-000001,Approve loan offer,2023-02-09 11:08:22.456,2023-02-09 11:28:22.456
3,Clerk-000003,Approve application,2023-02-09 11:28:22.456,2023-02-09 11:33:22.456
4,Clerk-000004,Reject application,2023-02-09 11:25:09.643,2023-02-09 11:35:09.643
7,Clerk-000003,Check application form completeness,2023-02-09 11:33:22.456,2023-02-09 11:36:15.033
5,Loan Officer-000001,Assess loan risk,2023-02-09 11:19:26.761,2023-02-09 11:39:26.761
7,Clerk-000004,Check credit history,2023-02-09 11:36:15.033,2023-02-09 11:42:07.052
5,Loan Officer-000002,Design loan offer,2023-02-09 11:39:26.761,2023-02-09 11:49:45.887
0,AML Investigator-000001,AML check,2023-02-09 11:03:13.187,2023-02-09 11:50:41.077
6,Clerk-000001,Check application form completeness,2023-02-09 11:00:00.000,2023-02-09 11:54:09.992
0,Clerk-000002,Check credit history,2023-02-09 11:03:13.187,2023-02-09 11:55:54.770
8,Clerk-000004,Check application form completeness,2023-02-09 12:00:00.000,2023-02-09 12:06:07.913
5,Senior Officer-000001,Approve loan offer,2023-02-09 11:49:45.887,2023-02-09 12:09:45.887
7,AML Investigator-000001,AML check,2023-02-09 11:50:41.077,2023-02-09 12:10:39.157
5,Clerk-000002,Cancel application,2023-02-09 12:09:45.887,2023-02-09 12:14:45.887
0,Loan Officer-000001,Assess loan risk,2023-02-09 11:55:54.770,2023-02-09 12:15:54.770
0,Clerk-000004,Reject application,2023-02-09 12:15:54.770,2023-02-09 12:25:54.770
6,AML Investigator-000001,AML check,2023-02-09 12:10:39.157,2023-02-09 12:29:30.286
8,Clerk-000001,Check credit history,2023-02-09 12:06:07.913,2023-02-09 12:33:57.529
9,Clerk-000002,Check application form completeness,2023-02-09 12:30:00.000,2023-02-09 13:00:00.893
9,Clerk-000001,Return application back to applicant,2023-02-09 13:00:00.893,2023-02-09 13:05:00.893
10,Clerk-000004,Check application form completeness,2023-02-09 13:00:00.000,2023-02-09 13:07:56.989
8,AML Investigator-000001,AML check,2023-02-09 12:29:30.286,2023-02-09 13:22:23.687
10,Clerk-000002,Check credit history,2023-02-09 13:07:56.989,2023-02-09 13:23:11.873
10,AML Investigator-000001,AML check,2023-02-09 13:22:23.687,2023-02-09 13:23:29.297
6,Clerk-000003,Check credit history,2023-02-09 11:54:09.992,2023-02-09 13:30:54.806
7,Appraiser-000001,Appraise property,2023-02-09 11:36:15.033,2023-02-09 13:56:45.303
9,Applicant-000001,Applicant completes form,2023-02-09 13:05:00.893,2023-02-09 14:05:00.893
9,Clerk-000002,Check application form completeness,2023-02-09 14:05:00.893,2023-02-09 14:13:58.668
6,Appraiser-000001,Appraise property,2023-02-09 13:56:45.303,2023-02-09 14:16:00.916
7,Loan Officer-000002,Assess loan risk,2023-02-09 13:56:45.303,2023-02-09 14:16:45.303
7,Clerk-000002,Reject application,2023-02-09 14:16:45.303,2023-02-09 14:26:45.303
9,Clerk-000003,Check credit history,2023-02-09 14:13:58.668,2023-02-09 14:30:02.965
6,Loan Officer-000001,Assess loan risk,2023-02-09 14:16:00.916,2023-02-09 14:36:00.916
11,Clerk-000001,Check application form completeness,2023-02-09 13:30:00.000,2023-02-09 14:38:26.929
6,Loan Officer-000002,Design loan offer,2023-02-09 14:36:00.916,2023-02-09 14:47:09.723
8,Appraiser-000001,Appraise property,2023-02-09 14:16:00.916,2023-02-09 14:50:13.750
13,Clerk-000002,Check application form completeness,2023-02-09 14:30:00.000,2023-02-09 14:58:49.037
11,Clerk-000003,Check credit history,2023-02-09 14:38:26.929,2023-02-10 07:02:55.107
6,Senior Officer-000001,Approve loan offer,2023-02-09 14:47:09.723,2023-02-10 07:07:09.723
9,Appraiser-000001,Appraise property,2023-02-09 14:50:13.750,2023-02-10 07:08:01.610
14,Clerk-000002,Check application form completeness,2023-02-09 15:00:00.000,2023-02-10 07:09:28.540
8,Loan Officer-000001,Assess loan risk,2023-02-09 14:50:13.750,2023-02-10 07:10:13.750
8,Loan Officer-000002,Design loan offer,2023-02-10 07:10:13.750,2023-02-10 07:11:53.570
6,Clerk-000003,Cancel application,2023-02-10 07:07:09.723,2023-02-10 07:12:09.723
10,Appraiser-000001,Appraise property,2023-02-10 07:08:01.610,2023-02-10 07:13:53.518
9,AML Investigator-000001,AML check,2023-02-09 14:13:58.668,2023-02-10 07:30:34.488
8,Senior Officer-000001,Approve loan offer,2023-02-10 07:11:53.570,2023-02-10 07:31:53.570
11,AML Investigator-000001,AML check,2023-02-10 07:30:34.488,2023-02-10 07:33:22.657
10,Loan Officer-000001,Assess loan risk,2023-02-10 07:13:53.518,2023-02-10 07:33:53.518
12,Clerk-000004,Check application form completeness,2023-02-09 14:00:00.000,2023-02-10 07:38:28.167
11,Appraiser-000001,Appraise property,2023-02-10 07:13:53.518,2023-02-10 07:42:43.301
8,Clerk-000004,Cancel application,2023-02-10 07:38:28.167,2023-02-10 07:43:28.167
14,Clerk-000002,Check credit history,2023-02-10 07:09:28.540,2023-02-10 07:43:57.383
12,Clerk-000004,Return application back to applicant,2023-02-10 07:43:28.167,2023-02-10 07:48:28.167
9,Loan Officer-000002,Assess loan risk,2023-02-10 07:30:34.488,2023-02-10 07:50:34.488
15,Clerk-000003,Check application form completeness,2023-02-10 07:30:00.000,2023-02-10 07:57:21.519
16,Clerk-000004,Check application form completeness,2023-02-10 08:00:00.000,2023-02-10 08:05:11.117
15,Clerk-000002,Check credit history,2023-02-10 07:57:21.519,2023-02-10 08:05:40.551
10,Loan Officer-000001,Design loan offer,2023-02-10 07:33:53.518,2023-02-10 08:07:10.327
11,Loan Officer-000002,Assess loan risk,2023-02-10 07:50:34.488,2023-02-10 08:10:34.488
9,Loan Officer-000001,Design loan offer,2023-02-10 08:07:10.327,2023-02-10 08:11:01.847
13,Appraiser-000001,Appraise property,2023-02-10 07:42:43.301,2023-02-10 08:14:57.576
16,Clerk-000003,Check credit history,2023-02-10 08:05:11.117,2023-02-10 08:16:32.970
11,Loan Officer-000002,Design loan offer,2023-02-10 08:10:34.488,2023-02-10 08:18:30.235
10,Senior Officer-000001,Approve loan offer,2023-02-10 08:07:10.327,2023-02-10 08:27:10.327
10,Clerk-000004,Cancel application,2023-02-10 08:27:10.327,2023-02-10 08:32:10.327
13,AML Investigator-000001,AML check,2023-02-10 07:33:22.657,2023-02-10 08:43:03.094
9,Senior Officer-000001,Approve loan offer,2023-02-10 08:27:10.327,2023-02-10 08:47:10.327
14,Appraiser-000001,Appraise property,2023-02-10 08:14:57.576,2023-02-10 08:47:22.839
17,Clerk-000002,Check application form completeness,2023-02-10 08:30:00.000,2023-02-10 08:47:26.123
14,AML Investigator-000001,AML check,2023-02-10 08:43:03.094,2023-02-10 08:47:44.210
12,Applicant-000001,Applicant completes form,2023-02-10 07:48:28.167,2023-02-10 08:48:28.167
12,Clerk-000002,Check application form completeness,2023-02-10 08:48:28.167,2023-02-10 08:50:17.813
9,Clerk-000003,Cancel application,2023-02-10 08:47:10.327,2023-02-10 08:52:10.327
15,Appraiser-000001,Appraise property,2023-02-10 08:47:22.839,2023-02-10 08:53:54.811
12,Clerk-000002,Return application back to applicant,2023-02-10 08:50:17.813,2023-02-10 08:55:17.813
11,Senior Officer-000001,Approve loan offer,2023-02-10 08:47:10.327,2023-02-10 09:07:10.327
14,Loan Officer-000001,Assess loan risk,2023-02-10 08:47:44.210,2023-02-10 09:07:44.210
17,Clerk-000004,Check credit history,2023-02-10 08:47:26.123,2023-02-10 09:08:38.042
18,Clerk-000003,Check application form completeness,2023-02-10 09:00:00.000,2023-02-10 09:11:17.898
14,Loan Officer-000002,Design loan offer,2023-02-10 09:07:44.210,2023-02-10 09:11:19.024
11,Clerk-000002,Approve application,2023-02-10 09:07:10.327,2023-02-10 09:12:10.327
18,Clerk-000004,Check credit history,2023-02-10 09:11:17.898,2023-02-10 09:16:41.053
15,AML Investigator-000001,AML check,2023-02-10 08:47:44.210,2023-02-10 09:30:52.554
14,Senior Officer-000001,Approve loan offer,2023-02-10 09:11:19.024,2023-02-10 09:31:19.024
14,Clerk-000002,Approve application,2023-02-10 09:31:19.024,2023-02-10 09:36:19.024
15,Loan Officer-000001,Assess loan risk,2023-02-10 09:30:52.554,2023-02-10 09:50:52.554
12,Applicant-000001,Applicant completes form,2023-02-10 08:55:17.813,2023-02-10 09:55:17.813
13,Clerk-000001,Check credit history,2023-02-09 14:58:49.037,2023-02-10 10:00:25.666
20,Clerk-000002,Check application form completeness,2023-02-10 10:00:00.000,2023-02-10 10:05:14.503
