case_id,resource,activity_name,start_timestamp,end_timestamp,agent
0,Clerk-000001,Check application form completeness,2023-02-09 08:00:00+00:00,2023-02-09 08:28:27.808000+00:00,0
0,Clerk-000002,Check credit history,2023-02-09 08:28:27.808000+00:00,2023-02-09 09:00:01.030000+00:00,2
0,AML Investigator-000001,AML check,2023-02-09 08:28:27.808000+00:00,2023-02-09 09:25:12.258000+00:00,7
0,Appraiser-000001,Appraise property,2023-02-09 08:28:27.808000+00:00,2023-02-09 09:35:08.311000+00:00,8
0,Loan Officer-000001,Assess loan risk,2023-02-09 09:35:08.311000+00:00,2023-02-09 09:55:08.311000+00:00,11
0,Loan Officer-000002,Design loan offer,2023-02-09 09:55:08.311000+00:00,2023-02-09 10:01:45.244000+00:00,12
0,Senior Officer-000001,Approve loan offer,2023-02-09 10:01:45.244000+00:00,2023-02-09 10:21:45.244000+00:00,14
0,Clerk-000003,Cancel application,2023-02-09 10:21:45.244000+00:00,2023-02-09 10:26:45.244000+00:00,1
1,Clerk-000003,Check application form completeness,2023-02-09 08:30:00+00:00,2023-02-09 08:59:57.164000+00:00,1
1,Appraiser-000002,Appraise property,2023-02-09 08:59:57.164000+00:00,2023-02-09 09:00:18.122000+00:00,3
1,Clerk-000004,Check credit history,2023-02-09 08:59:57.164000+00:00,2023-02-09 09:15:59.425000+00:00,6
1,AML Investigator-000002,AML check,2023-02-09 08:59:57.164000+00:00,2023-02-09 10:21:13.295000+00:00,13
1,Loan Officer-000003,Assess loan risk,2023-02-09 10:21:13.295000+00:00,2023-02-09 10:41:13.295000+00:00,15
1,Loan Officer-000004,Design loan offer,2023-02-09 10:41:13.295000+00:00,2023-02-09 10:42:11.527000+00:00,16
1,Senior Officer-000002,Approve loan offer,2023-02-09 10:42:11.527000+00:00,2023-02-09 11:02:11.527000+00:00,17
1,Clerk-000007,Approve application,2023-02-09 11:02:11.527000+00:00,2023-02-09 11:07:11.527000+00:00,9
2,Clerk-000005,Check application form completeness,2023-02-09 09:00:00+00:00,2023-02-09 09:04:40.802000+00:00,4
2,Clerk-000006,Check credit history,2023-02-09 09:04:40.802000+00:00,2023-02-09 09:14:41.633000+00:00,5
2,Appraiser-000002,Appraise property,2023-02-09 09:04:40.802000+00:00,2023-02-09 09:47:18.700000+00:00,3
2,AML Investigator-000001,AML check,2023-02-09 09:25:12.258000+00:00,2023-02-09 11:53:18.768000+00:00,7
