case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,1,Check application form completeness,2023-05-09 11:42:43.804400720+00:00,2023-05-09 13:55:18.706005602+00:00,0,Clerk-000003
1,10,Check application form completeness,2023-05-09 12:12:43.804400720+00:00,2023-05-09 12:24:38.584488469+00:00,1,Clerk-000007
0,9,Appraise property,2023-05-09 13:55:18.706005602+00:00,2023-05-09 14:13:01.153393525+00:00,2,Appraiser-000001
1,0,Check credit history,2023-05-09 12:24:38.584488469+00:00,2023-05-09 14:13:48.409698625+00:00,3,Clerk-000001
2,7,Check application form completeness,2023-05-09 12:42:43.804400720+00:00,2023-05-09 14:47:22.827692467+00:00,4,Clerk-000004
0,12,Check credit history,2023-05-09 14:13:01.153393525+00:00,2023-05-09 14:13:01.153393525+00:00,5,Clerk-000008
3,12,Check application form completeness,2023-05-09 13:12:43.804400720+00:00,2023-05-09 13:12:43.804400720+00:00,6,Clerk-000008
0,4,AML check,2023-05-09 14:13:01.153393525+00:00,2023-05-09 14:40:46.190918104+00:00,7,AML Investigator-000001
2,0,Check credit history,2023-05-09 14:47:22.827692467+00:00,2023-05-09 17:24:56.925687055+00:00,9,Clerk-000001
4,6,Check application form completeness,2023-05-09 13:42:43.804400720+00:00,2023-05-09 13:42:43.804400720+00:00,11,Clerk-000006
0,13,Assess loan risk,2023-05-09 14:40:46.190918104+00:00,2023-05-10 07:40:46.190918104+00:00,12,Loan Officer-000002
1,8,Appraise property,2023-05-09 14:40:46.190918104+00:00,2023-05-09 14:55:11.444475624+00:00,13,Appraiser-000002
2,4,AML check,2023-05-09 17:24:56.925687055+00:00,2023-05-10 07:45:24.013437672+00:00,14,AML Investigator-000001
4,5,AML check,2023-05-09 13:42:43.804400720+00:00,2023-05-09 14:12:41.003523710+00:00,15,AML Investigator-000002
5,2,Check application form completeness,2023-05-09 14:12:43.804400720+00:00,2023-05-09 14:12:43.804400720+00:00,16,Clerk-000002
3,12,Check credit history,2023-05-09 14:13:01.153393525+00:00,2023-05-09 14:13:01.153393525+00:00,17,Clerk-000008
1,5,AML check,2023-05-09 14:55:11.444475624+00:00,2023-05-10 07:23:57.476816026+00:00,18,AML Investigator-000002
0,1,Reject application,2023-05-10 07:40:46.190918104+00:00,2023-05-10 08:40:46.190918104+00:00,19,Clerk-000003
2,8,Appraise property,2023-05-10 07:45:24.013437672+00:00,2023-05-10 08:15:31.940565797+00:00,20,Appraiser-000002
4,8,Appraise property,2023-05-09 14:12:41.003523710+00:00,2023-05-09 14:32:28.787634377+00:00,21,Appraiser-000002
6,2,Check application form completeness,2023-05-09 14:42:43.804400720+00:00,2023-05-09 14:42:43.804400720+00:00,24,Clerk-000002
1,15,Assess loan risk,2023-05-10 07:23:57.476816026+00:00,2023-05-10 08:23:57.476816026+00:00,25,Loan Officer-000004
2,11,Assess loan risk,2023-05-10 08:15:31.940565797+00:00,2023-05-10 09:15:31.940565797+00:00,26,Loan Officer-000001
4,6,Check credit history,2023-05-09 14:32:28.787634377+00:00,2023-05-09 14:32:28.787634377+00:00,27,Clerk-000006
3,4,AML check,2023-05-09 14:40:46.190918104+00:00,2023-05-10 07:30:08.037483380+00:00,29,AML Investigator-000001
6,2,Check credit history,2023-05-09 14:42:43.804400720+00:00,2023-05-09 14:42:43.804400720+00:00,30,Clerk-000002
7,3,Check application form completeness,2023-05-10 07:30:00+00:00,2023-05-10 08:38:32.507841851+00:00,31,Clerk-000005
1,14,Design loan offer,2023-05-10 08:23:57.476816026+00:00,2023-05-10 08:53:55.291797598+00:00,32,Loan Officer-000003
2,2,Reject application,2023-05-10 09:15:31.940565797+00:00,2023-05-10 09:15:31.940565797+00:00,33,Clerk-000002
4,15,Assess loan risk,2023-05-09 14:32:28.787634377+00:00,2023-05-09 15:32:28.787634377+00:00,34,Loan Officer-000004
6,5,AML check,2023-05-09 14:42:43.804400720+00:00,2023-05-09 14:43:52.042991211+00:00,35,AML Investigator-000002
5,2,Check credit history,2023-05-09 17:24:56.925687055+00:00,2023-05-09 17:24:56.925687055+00:00,36,Clerk-000002
3,8,Appraise property,2023-05-10 07:30:08.037483380+00:00,2023-05-10 07:44:55.658311486+00:00,37,Appraiser-000002
8,6,Check application form completeness,2023-05-10 08:00:00+00:00,2023-05-10 08:00:00+00:00,38,Clerk-000006
7,5,AML check,2023-05-10 08:38:32.507841851+00:00,2023-05-10 09:10:49.030522579+00:00,39,AML Investigator-000002
1,16,Approve loan offer,2023-05-10 08:53:55.291797598+00:00,2023-05-10 09:13:55.291797598+00:00,40,Senior Officer-000001
4,14,Design loan offer,2023-05-09 15:32:28.787634377+00:00,2023-05-09 15:57:25.474218009+00:00,42,Loan Officer-000003
8,9,Appraise property,2023-05-10 08:00:00+00:00,2023-05-10 08:07:09.469195104+00:00,45,Appraiser-000001
9,2,Check application form completeness,2023-05-10 08:30:00+00:00,2023-05-10 08:30:00+00:00,46,Clerk-000002
7,12,Check credit history,2023-05-10 09:10:49.030522579+00:00,2023-05-10 09:10:49.030522579+00:00,47,Clerk-000008
1,2,Approve application,2023-05-10 09:13:55.291797598+00:00,2023-05-10 09:13:55.291797598+00:00,48,Clerk-000002
