case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,4,Check application form completeness,2023-05-09 09:38:24.989878320+00:00,2023-05-09 09:53:05.573726581+00:00,0,Clerk-000005
0,6,AML check,2023-05-09 09:53:05.573726581+00:00,2023-05-09 09:57:35.330029527+00:00,1,AML Investigator-000001
0,7,Appraise property,2023-05-09 09:57:35.330029527+00:00,2023-05-09 11:21:36.171366607+00:00,2,Appraiser-000001
1,11,Check application form completeness,2023-05-09 10:08:24.989878320+00:00,2023-05-09 11:07:08.242180356+00:00,3,Clerk-000007
0,4,Check credit history,2023-05-09 11:21:36.171366607+00:00,2023-05-09 11:30:45.822182186+00:00,4,Clerk-000005
2,12,Check application form completeness,2023-05-09 10:38:24.989878320+00:00,2023-05-09 10:38:24.989878320+00:00,5,Clerk-000008
1,8,Check credit history,2023-05-09 11:07:08.242180356+00:00,2023-05-09 11:09:14.317926990+00:00,6,Clerk-000004
0,10,Assess loan risk,2023-05-09 11:30:45.822182186+00:00,2023-05-09 11:50:45.822182186+00:00,7,Loan Officer-000001
2,12,Check credit history,2023-05-09 10:38:24.989878320+00:00,2023-05-09 10:38:24.989878320+00:00,8,Clerk-000008
3,12,Check application form completeness,2023-05-09 11:08:24.989878320+00:00,2023-05-09 11:08:24.989878320+00:00,9,Clerk-000008
0,13,Design loan offer,2023-05-09 11:50:45.822182186+00:00,2023-05-09 12:25:38.226037168+00:00,11,Loan Officer-000002
3,5,Return application back to applicant,2023-05-09 11:08:24.989878320+00:00,2023-05-09 11:13:24.989878320+00:00,13,Clerk-000006
1,6,AML check,2023-05-09 11:21:36.171366607+00:00,2023-05-09 11:52:37.781893134+00:00,14,AML Investigator-000001
4,0,Check application form completeness,2023-05-09 11:38:24.989878320+00:00,2023-05-09 15:16:27.163146565+00:00,15,Clerk-000001
0,15,Approve loan offer,2023-05-09 12:25:38.226037168+00:00,2023-05-09 13:05:38.226037168+00:00,16,Senior Officer-000001
3,18,Applicant completes form,2023-05-09 11:13:24.989878320+00:00,2023-05-09 12:13:24.989878320+00:00,17,Applicant-000001
1,7,Appraise property,2023-05-09 11:52:37.781893134+00:00,2023-05-09 12:57:05.456000749+00:00,19,Appraiser-000001
5,3,Check application form completeness,2023-05-09 12:08:24.989878320+00:00,2023-05-09 12:44:43.723820719+00:00,20,Clerk-000002
0,12,Cancel application,2023-05-09 13:05:38.226037168+00:00,2023-05-09 13:05:38.226037168+00:00,21,Clerk-000008
4,7,Appraise property,2023-05-09 15:16:27.163146565+00:00,2023-05-10 07:10:29.036145212+00:00,22,Appraiser-000001
3,12,Check application form completeness,2023-05-09 12:13:24.989878320+00:00,2023-05-09 12:13:24.989878320+00:00,24,Clerk-000008
6,2,Check application form completeness,2023-05-09 12:38:24.989878320+00:00,2023-05-09 12:38:24.989878320+00:00,25,Clerk-000003
5,12,Check credit history,2023-05-09 12:44:43.723820719+00:00,2023-05-09 12:44:43.723820719+00:00,26,Clerk-000008
1,10,Assess loan risk,2023-05-09 12:57:05.456000749+00:00,2023-05-09 13:17:05.456000749+00:00,27,Loan Officer-000001
3,1,Appraise property,2023-05-09 12:13:24.989878320+00:00,2023-05-09 13:32:35.999487965+00:00,28,Appraiser-000002
