case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Check application form completeness,2023-02-09 08:00:00+00:00,2023-02-09 08:16:13.795218587+00:00,0,Clerk-000001
0,3,Appraise property,2023-02-09 08:16:13.795218587+00:00,2023-02-09 08:51:46.503471072+00:00,1,Appraiser-000002
1,1,Check application form completeness,2023-02-09 08:30:00+00:00,2023-02-09 10:05:02.288885746+00:00,2,Clerk-000003
0,2,Check credit history,2023-02-09 08:51:46.503471072+00:00,2023-02-09 11:16:10.419822484+00:00,3,Clerk-000002
2,4,Check application form completeness,2023-02-09 09:00:00+00:00,2023-02-09 09:19:40.247057518+00:00,4,Clerk-000005
1,5,Check credit history,2023-02-09 10:05:02.288885746+00:00,2023-02-09 10:09:47.717133510+00:00,5,Clerk-000006
0,7,AML check,2023-02-09 11:16:10.419822484+00:00,2023-02-09 12:07:31.837561848+00:00,6,AML Investigator-000001
2,8,Appraise property,2023-02-09 09:19:40.247057518+00:00,2023-02-09 09:34:10.718657313+00:00,7,Appraiser-000001
3,6,Check application form completeness,2023-02-09 09:30:00+00:00,2023-02-09 09:46:43.127937142+00:00,8,Clerk-000004
1,13,AML check,2023-02-09 10:09:47.717133510+00:00,2023-02-09 11:22:37.796439997+00:00,9,AML Investigator-000002
0,11,Assess loan risk,2023-02-09 12:07:31.837561848+00:00,2023-02-09 12:27:31.837561848+00:00,10,Loan Officer-000001
2,13,AML check,2023-02-09 09:34:10.718657313+00:00,2023-02-09 09:57:25.140835843+00:00,11,AML Investigator-000002
3,9,Check credit history,2023-02-09 09:46:43.127937142+00:00,2023-02-09 11:38:56.608817103+00:00,12,Clerk-000007
4,10,Check application form completeness,2023-02-09 10:00:00+00:00,2023-02-09 11:15:54.665532136+00:00,13,Clerk-000008
1,3,Appraise property,2023-02-09 11:22:37.796439997+00:00,2023-02-09 12:04:58.438192836+00:00,14,Appraiser-000002
0,12,Design loan offer,2023-02-09 12:27:31.837561848+00:00,2023-02-09 12:48:00.445444335+00:00,15,Loan Officer-000002
2,0,Check credit history,2023-02-09 09:57:25.140835843+00:00,2023-02-09 12:35:37.391238555+00:00,16,Clerk-000001
5,4,Check application form completeness,2023-02-09 10:30:00+00:00,2023-02-09 10:52:38.563241112+00:00,17,Clerk-000005
4,6,Check credit history,2023-02-09 11:15:54.665532136+00:00,2023-02-09 11:20:20.457617207+00:00,18,Clerk-000004
3,8,Appraise property,2023-02-09 11:38:56.608817103+00:00,2023-02-09 12:42:59.062247724+00:00,19,Appraiser-000001
1,15,Assess loan risk,2023-02-09 12:04:58.438192836+00:00,2023-02-09 12:44:58.438192836+00:00,20,Loan Officer-000003
0,14,Approve loan offer,2023-02-09 12:48:00.445444335+00:00,2023-02-09 13:28:00.445444335+00:00,21,Senior Officer-000001
5,1,Check credit history,2023-02-09 10:52:38.563241112+00:00,2023-02-09 13:47:25.002026865+00:00,22,Clerk-000003
6,5,Check application form completeness,2023-02-09 11:00:00+00:00,2023-02-09 11:03:09.438442369+00:00,23,Clerk-000006
2,16,Assess loan risk,2023-02-09 12:35:37.391238555+00:00,2023-02-09 13:15:37.391238555+00:00,25,Loan Officer-000004
3,13,AML check,2023-02-09 12:42:59.062247724+00:00,2023-02-09 13:12:18.919899736+00:00,26,AML Investigator-000002
1,4,Reject application,2023-02-09 12:44:58.438192836+00:00,2023-02-09 12:54:58.438192836+00:00,27,Clerk-000005
0,5,Approve application,2023-02-09 13:28:00.445444335+00:00,2023-02-09 13:33:00.445444335+00:00,28,Clerk-000006
6,8,Appraise property,2023-02-09 11:03:09.438442369+00:00,2023-02-09 11:25:10.828511151+00:00,29,Appraiser-000001
7,10,Check application form completeness,2023-02-09 11:30:00+00:00,2023-02-09 12:21:52.015140347+00:00,30,Clerk-000008
