case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,12,Check application form completeness,2023-05-09 11:42:43.804400720+00:00,2023-05-09 11:42:43.804400720+00:00,0,Clerk-000008
0,2,Check credit history,2023-05-09 11:42:43.804400720+00:00,2023-05-09 11:42:43.804400720+00:00,1,Clerk-000002
0,4,AML check,2023-05-09 11:42:43.804400720+00:00,2023-05-09 12:39:28.759578169+00:00,2,AML Investigator-000001
1,12,Check application form completeness,2023-05-09 12:12:43.804400720+00:00,2023-05-09 12:12:43.804400720+00:00,3,Clerk-000008
0,8,Appraise property,2023-05-09 12:39:28.759578169+00:00,2023-05-09 12:49:17.206393656+00:00,4,Appraiser-000002
1,2,Check credit history,2023-05-09 12:12:43.804400720+00:00,2023-05-09 12:12:43.804400720+00:00,5,Clerk-000002
2,6,Check application form completeness,2023-05-09 12:42:43.804400720+00:00,2023-05-09 12:42:43.804400720+00:00,6,Clerk-000006
0,15,Assess loan risk,2023-05-09 12:49:17.206393656+00:00,2023-05-09 13:49:17.206393656+00:00,7,Loan Officer-000004
1,9,Appraise property,2023-05-09 12:12:43.804400720+00:00,2023-05-09 12:29:14.991505149+00:00,8,Appraiser-000001
2,6,Check credit history,2023-05-09 12:42:43.804400720+00:00,2023-05-09 12:42:43.804400720+00:00,9,Clerk-000006
3,10,Check application form completeness,2023-05-09 13:12:43.804400720+00:00,2023-05-09 14:15:41.391361243+00:00,10,Clerk-000007
0,2,Reject application,2023-05-09 13:49:17.206393656+00:00,2023-05-09 13:49:17.206393656+00:00,11,Clerk-000002
1,5,AML check,2023-05-09 12:29:14.991505149+00:00,2023-05-09 13:20:04.506175741+00:00,12,AML Investigator-000002
2,9,Appraise property,2023-05-09 12:42:43.804400720+00:00,2023-05-09 12:45:32.564052634+00:00,13,Appraiser-000001
4,6,Check application form completeness,2023-05-09 13:42:43.804400720+00:00,2023-05-09 13:42:43.804400720+00:00,14,Clerk-000006
1,14,Assess loan risk,2023-05-09 13:20:04.506175741+00:00,2023-05-09 14:20:04.506175741+00:00,16,Loan Officer-000003
4,6,Check credit history,2023-05-09 13:42:43.804400720+00:00,2023-05-09 13:42:43.804400720+00:00,17,Clerk-000006
5,0,Check application form completeness,2023-05-09 14:12:43.804400720+00:00,2023-05-09 14:12:43.804400720+00:00,18,Clerk-000001
