case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,5,Check application form completeness,2023-05-10 07:46:37.402000+00:00,2023-05-10 08:13:36.797468248+00:00,0,Clerk-000004
0,2,Check credit history,2023-05-10 08:13:36.797468248+00:00,2023-05-10 09:14:05.243563753+00:00,1,Clerk-000003
1,0,Check application form completeness,2023-05-10 08:16:37.402000+00:00,2023-05-10 09:22:51.600075362+00:00,2,Clerk-000001
0,3,AML check,2023-05-10 09:14:05.243563753+00:00,2023-05-10 09:34:58.892250324+00:00,3,AML Investigator-000001
2,1,Check application form completeness,2023-05-10 08:46:37.402000+00:00,2023-05-10 09:14:07.524683959+00:00,4,Clerk-000002
1,0,Check credit history,2023-05-10 09:22:51.600075362+00:00,2023-05-10 09:33:12.234041420+00:00,5,Clerk-000001
0,6,Appraise property,2023-05-10 09:34:58.892250324+00:00,2023-05-10 10:08:00.142073360+00:00,6,Appraiser-000001
3,5,Check application form completeness,2023-05-10 09:16:37.402000+00:00,2023-05-10 09:21:36.702047576+00:00,8,Clerk-000004
0,8,Assess loan risk,2023-05-10 10:08:00.142073360+00:00,2023-05-10 10:28:00.142073360+00:00,10,Loan Officer-000002
3,2,Check credit history,2023-05-10 09:21:36.702047576+00:00,2023-05-10 09:23:45.135985727+00:00,11,Clerk-000003
1,3,AML check,2023-05-10 09:34:58.892250324+00:00,2023-05-10 10:02:58.418335214+00:00,13,AML Investigator-000001
4,1,Check application form completeness,2023-05-10 09:46:37.402000+00:00,2023-05-10 10:12:48.958859203+00:00,14,Clerk-000002
0,1,Reject application,2023-05-10 10:28:00.142073360+00:00,2023-05-10 10:38:00.142073360+00:00,15,Clerk-000002
2,2,Return application back to applicant,2023-05-10 09:33:12.234041420+00:00,2023-05-10 09:38:12.234041420+00:00,17,Clerk-000003
4,0,Check credit history,2023-05-10 10:12:48.958859203+00:00,2023-05-10 10:43:56.606036532+00:00,19,Clerk-000001
