case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,11,Check application form completeness,2023-05-09 09:38:24.989878320+00:00,2023-05-09 10:32:48.039880310+00:00,0,Clerk-000007
1,12,Check application form completeness,2023-05-09 10:08:24.989878320+00:00,2023-05-09 10:08:24.989878320+00:00,1,Clerk-000008
0,8,Check credit history,2023-05-09 10:32:48.039880310+00:00,2023-05-09 10:44:16.801567278+00:00,2,Clerk-000004
1,7,Appraise property,2023-05-09 10:08:24.989878320+00:00,2023-05-09 10:24:44.632418828+00:00,3,Appraiser-000001
2,4,Check application form completeness,2023-05-09 10:38:24.989878320+00:00,2023-05-09 10:42:20.690272136+00:00,4,Clerk-000005
0,1,Appraise property,2023-05-09 10:44:16.801567278+00:00,2023-05-09 12:08:09.469954157+00:00,5,Appraiser-000002
1,2,Check credit history,2023-05-09 10:24:44.632418828+00:00,2023-05-09 10:24:44.632418828+00:00,6,Clerk-000003
2,4,Check credit history,2023-05-09 10:42:20.690272136+00:00,2023-05-09 11:18:08.573550596+00:00,7,Clerk-000005
3,5,Check application form completeness,2023-05-09 11:08:24.989878320+00:00,2023-05-09 11:34:09.419788521+00:00,8,Clerk-000006
0,6,AML check,2023-05-09 12:08:09.469954157+00:00,2023-05-09 12:31:05.457585189+00:00,9,AML Investigator-000001
1,9,AML check,2023-05-09 10:24:44.632418828+00:00,2023-05-09 11:37:19.551547465+00:00,10,AML Investigator-000002
2,6,AML check,2023-05-09 11:18:08.573550596+00:00,2023-05-09 12:01:06.179322392+00:00,11,AML Investigator-000001
3,5,Return application back to applicant,2023-05-09 11:34:09.419788521+00:00,2023-05-09 11:39:09.419788521+00:00,12,Clerk-000006
4,12,Check application form completeness,2023-05-09 11:38:24.989878320+00:00,2023-05-09 11:38:24.989878320+00:00,13,Clerk-000008
0,10,Assess loan risk,2023-05-09 12:31:05.457585189+00:00,2023-05-09 12:51:05.457585189+00:00,14,Loan Officer-000001
1,10,Assess loan risk,2023-05-09 11:37:19.551547465+00:00,2023-05-09 11:57:19.551547465+00:00,15,Loan Officer-000001
4,12,Check credit history,2023-05-09 11:38:24.989878320+00:00,2023-05-09 11:38:24.989878320+00:00,16,Clerk-000008
3,18,Applicant completes form,2023-05-09 11:39:09.419788521+00:00,2023-05-09 12:39:09.419788521+00:00,17,Applicant-000001
2,7,Appraise property,2023-05-09 12:01:06.179322392+00:00,2023-05-09 12:40:24.511840929+00:00,18,Appraiser-000001
5,3,Check application form completeness,2023-05-09 12:08:24.989878320+00:00,2023-05-09 14:59:17.649806767+00:00,19,Clerk-000002
0,2,Reject application,2023-05-09 12:51:05.457585189+00:00,2023-05-09 12:51:05.457585189+00:00,20,Clerk-000003
1,2,Reject application,2023-05-09 11:57:19.551547465+00:00,2023-05-09 11:57:19.551547465+00:00,22,Clerk-000003
6,2,Check application form completeness,2023-05-09 12:38:24.989878320+00:00,2023-05-09 12:38:24.989878320+00:00,23,Clerk-000003
3,2,Check application form completeness,2023-05-09 12:39:09.419788521+00:00,2023-05-09 12:39:09.419788521+00:00,24,Clerk-000003
6,1,Appraise property,2023-05-09 12:38:24.989878320+00:00,2023-05-09 12:57:03.419548512+00:00,26,Appraiser-000002
3,11,Return application back to applicant,2023-05-09 12:39:09.419788521+00:00,2023-05-09 12:59:09.419788521+00:00,27,Clerk-000007
2,10,Assess loan risk,2023-05-09 12:51:05.457585189+00:00,2023-05-09 13:11:05.457585189+00:00,28,Loan Officer-000001
7,0,Check application form completeness,2023-05-09 13:08:24.989878320+00:00,2023-05-09 14:02:51.672430160+00:00,29,Clerk-000001
5,4,Check credit history,2023-05-09 14:59:17.649806767+00:00,2023-05-09 15:21:24.150151369+00:00,30,Clerk-000005
6,2,Check credit history,2023-05-09 12:57:03.419548512+00:00,2023-05-09 12:57:03.419548512+00:00,32,Clerk-000003
3,18,Applicant completes form,2023-05-09 12:59:09.419788521+00:00,2023-05-10 07:59:09.419788521+00:00,33,Applicant-000001
2,2,Reject application,2023-05-09 13:11:05.457585189+00:00,2023-05-09 13:11:05.457585189+00:00,34,Clerk-000003
