case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Check application form completeness,2023-02-09 08:00:00+00:00,2023-02-09 10:35:33.681939934+00:00,0,Clerk-000001
1,1,Check application form completeness,2023-02-09 08:30:00+00:00,2023-02-09 10:39:32.960568400+00:00,1,Clerk-000003
0,2,Check credit history,2023-02-09 10:35:33.681939934+00:00,2023-02-09 13:30:29.471538513+00:00,2,Clerk-000002
2,4,Check application form completeness,2023-02-09 09:00:00+00:00,2023-02-09 11:02:44.101877814+00:00,3,Clerk-000005
1,7,AML check,2023-02-09 10:39:32.960568400+00:00,2023-02-09 11:02:05.229913812+00:00,4,AML Investigator-000001
0,13,AML check,2023-02-09 13:30:29.471538513+00:00,2023-02-09 13:45:48.710764333+00:00,5,AML Investigator-000002
3,5,Check application form completeness,2023-02-09 09:30:00+00:00,2023-02-09 11:15:51.515015879+00:00,6,Clerk-000006
1,6,Check credit history,2023-02-09 11:02:05.229913812+00:00,2023-02-09 13:57:47.470432638+00:00,7,Clerk-000004
2,3,Appraise property,2023-02-09 11:02:44.101877814+00:00,2023-02-09 11:14:20.974030456+00:00,8,Appraiser-000002
0,8,Appraise property,2023-02-09 13:45:48.710764333+00:00,2023-02-09 13:46:06.022293848+00:00,9,Appraiser-000001
4,9,Check application form completeness,2023-02-09 10:00:00+00:00,2023-02-09 10:12:05.213567457+00:00,10,Clerk-000007
2,7,AML check,2023-02-09 11:14:20.974030456+00:00,2023-02-09 11:17:29.446837095+00:00,11,AML Investigator-000001
3,3,Appraise property,2023-02-09 11:15:51.515015879+00:00,2023-02-09 12:10:41.263685755+00:00,12,Appraiser-000002
0,11,Assess loan risk,2023-02-09 13:46:06.022293848+00:00,2023-02-09 14:46:06.022293848+00:00,13,Loan Officer-000001
1,3,Appraise property,2023-02-09 13:57:47.470432638+00:00,2023-02-09 14:00:14.953818238+00:00,14,Appraiser-000002
4,10,Check credit history,2023-02-09 10:12:05.213567457+00:00,2023-02-09 11:46:01.975268301+00:00,15,Clerk-000008
5,9,Check application form completeness,2023-02-09 10:30:00+00:00,2023-02-09 15:18:39.088235663+00:00,16,Clerk-000007
2,0,Check credit history,2023-02-09 11:17:29.446837095+00:00,2023-02-09 14:07:22.847840469+00:00,17,Clerk-000001
3,7,AML check,2023-02-09 12:10:41.263685755+00:00,2023-02-09 12:11:15.903146873+00:00,18,AML Investigator-000001
1,12,Assess loan risk,2023-02-09 14:00:14.953818238+00:00,2023-02-10 07:00:14.953818237+00:00,19,Loan Officer-000002
0,15,Design loan offer,2023-02-09 14:46:06.022293848+00:00,2023-02-09 15:48:35.769483689+00:00,20,Loan Officer-000003
6,1,Check application form completeness,2023-02-09 11:00:00+00:00,2023-02-09 13:35:25.428132452+00:00,21,Clerk-000003
4,13,AML check,2023-02-09 11:46:01.975268301+00:00,2023-02-09 12:16:46.380060176+00:00,22,AML Investigator-000002
3,4,Check credit history,2023-02-09 12:11:15.903146873+00:00,2023-02-09 15:13:36.546293841+00:00,23,Clerk-000005
2,16,Assess loan risk,2023-02-09 14:07:22.847840469+00:00,2023-02-10 07:07:22.847840468+00:00,24,Loan Officer-000004
5,5,Check credit history,2023-02-09 15:18:39.088235663+00:00,2023-02-09 16:28:55.387827840+00:00,25,Clerk-000006
0,14,Approve loan offer,2023-02-09 15:48:35.769483689+00:00,2023-02-10 07:20:00.000000689+00:00,26,Senior Officer-000001
1,11,Design loan offer,2023-02-10 07:00:14.953818237+00:00,2023-02-10 07:12:09.482405987+00:00,27,Loan Officer-000001
7,10,Check application form completeness,2023-02-09 11:30:00+00:00,2023-02-09 13:35:18.686755896+00:00,28,Clerk-000008
4,8,Appraise property,2023-02-09 12:16:46.380060176+00:00,2023-02-09 13:03:55.307843195+00:00,29,Appraiser-000001
6,8,Appraise property,2023-02-09 13:35:25.428132452+00:00,2023-02-09 13:36:13.573609349+00:00,30,Appraiser-000001
3,11,Assess loan risk,2023-02-09 15:13:36.546293841+00:00,2023-02-10 08:00:00.000000841+00:00,31,Loan Officer-000001
5,7,AML check,2023-02-09 16:28:55.387827840+00:00,2023-02-10 07:00:01.970903818+00:00,32,AML Investigator-000001
